(-1.4250839305236191,-3.9153859199412855)
(1.4250839305236191,3.9153859199412855)
(-2.8501678610472383,-7.830771839882571)
(2.8501678610472383,7.830771839882571)
(-4.275251791570857,-11.746157759823856)
(4.275251791570857,11.746157759823856)
(-5.700335722094477,-15.661543679765142)
(5.700335722094477,15.661543679765142)
(-7.1254196526180955,-19.57692959970643)
(7.1254196526180955,19.57692959970643)
(-8.550503583141715,-23.492315519647715)
(8.550503583141715,23.492315519647715)
(-9.975587513665333,-27.407701439589)
(9.975587513665333,27.407701439589)
(-11.400671444188953,-31.323087359530284)
(11.400671444188953,31.323087359530284)
(-12.825755374712571,-35.23847327947156)
(12.825755374712571,35.23847327947156)
(-14.25083930523619,-39.15385919941285)
(14.25083930523619,39.15385919941285)
(-15.675923235759807,-43.06924511935413)
(15.675923235759807,43.06924511935413)
(-17.101007166283424,-46.984631039295415)
(17.101007166283424,46.984631039295415)
(-18.526091096807043,-50.900016959236694)
(18.526091096807043,50.900016959236694)
(-19.95117502733066,-54.81540287917798)
(19.95117502733066,54.81540287917798)
(-21.37625895785428,-58.73078879911926)
(21.37625895785428,58.73078879911926)
(-22.8013428883779,-62.646174719060554)
(22.8013428883779,62.646174719060554)
(-24.22642681890152,-66.56156063900184)
(24.22642681890152,66.56156063900184)
(-25.651510749425142,-70.47694655894313)
(25.651510749425142,70.47694655894313)
(-27.076594679948762,-74.39233247888443)
(27.076594679948762,74.39233247888443)
(-28.501678610472382,-78.30771839882571)
(28.501678610472382,78.30771839882571)
(-29.926762540996002,-82.223104318767)
(29.926762540996002,82.223104318767)
(-31.35184647151962,-86.13849023870829)
(31.35184647151962,86.13849023870829)
(-32.77693040204324,-90.05387615864959)
(32.77693040204324,90.05387615864959)
(-34.20201433256686,-93.96926207859087)
(34.20201433256686,93.96926207859087)
(-35.62709826309049,-97.88464799853216)
(35.62709826309049,97.88464799853216)
